Where do you live? (City and State/Country),Are you Male or Female?,What's your Age?,If I could live forever I would/would not?,Which closes fits what you think will happen when you die?,I think the following is most important for good health (choose one),How much do you think about your weight?,What do you do to help cope with stress most?,"If you spend the day being lazy, do you feel good or bad?","In general, do you feel life has been fair to you?",How many languages do you speak fluently?,Did you grow up with a pet?,My current relationship status:,Select where you usually get your information about the world from,Select how obedient or independent you think children should be,"If I could enhance my unborn child's DNA in only ONE way, I would improve their: (choose one)",How strict or lenient were your parents when you were growing up?,The following would make my life better (choose one),How much time do you spend alone each day?,How optimistic or pessimistic are you?,How many generations currently live in your household?,Who are you more similar to?,I would or would not say that one of the main goals in my life has been to make my parents proud,Where are you in the birth order of your siblings,My pet thinks of me as its _______________ (choose one),Rank how trustworthy you think people are,"In general, I do/do not feel that life has been fair to me",I think successful people more/less honest than the average person,Select where you feel safest,Do you know the names of your closest neighbors?,How safe or scary is your neighborhood?,"If there were a fire at my home, I would take the following item first",Who would you vote for president of the US?,I usually average X hours sleep each night,I usually wake up in the following way:,Pick how often you have lucid dreams,Pick how often your remember your dreams during the day,Pick what you mostly dream about,"If there were a pill that eliminated the need for sleep, I would/would not not take it",Have you slept-walked before?,Do you nap regularly?,Have you experienced love at first sight,Would you marry someone with whom you could never have children?,Do you think it is acceptable for a married person to have an affair?,Do you think love is necessary for marriage?,Do you kick your pet out of the room before having sex?,"If I could change ONE thing about my partner, it would be the following (pick one)",I was X years old when I got married,lat,lon
Taguig City Metro Manila Philippines,male,29,would,Nothing. Game over.,Exercise,At times,Family/Friends,bad,Do,2,did not,Married,Computer,,Intelligence,,More money,10,,2,Both about equally,would not,Oldest,I don't have a pet,Untrustworthy,Do,,Home,Safe,Do not,Electronics,Barack Obama,7,Naturally,Seldom,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,No,Nothing,26,,
Madrid Comunidad de Madrid Espa�,female,40,would not,I will go to heaven or hell,Genes,Constantly,Family/Friends,bad,Do,10,did not,Married,TV,Obedient,Intelligence,Strict,Better romance,1,Optimistic,2,Neither,would,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Photo albums,Barack Obama,6,Alarm clock,Never,Seldom,Other,Would not,Have not,Do not,have not,would,is not,is,No,Nothing,28,,
St Paul Minnesota United States,male,33,would,Nothing. Game over.,Proper diet,Sometimes,Family/Friends,good,Do not,1,did,Married,SmartPhone,Obedient,Lifespan,Strict,More money,1,Optimistic,2,Dad,would,Youngest,Can-opener,Untrustworthy,Do not,More,Home,Safe,Do,Electronics,,5,Alarm clock,Seldom,Seldom,Being unprepared,Would,Have not,Do not,have not,would,is not,is not,No,Sexual ability,23,,
,male,26,would,Nothing. Game over.,Proper diet,Sometimes,Family/Friends,bad,Do,3,did not,Single,Computer,Obedient,Nothing,Strict,More money,5,Optimistic,,Neither,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Other,Barack Obama,7,Alarm clock,Seldom,Often,Other,Would,Have not,Do,have,would,is not,is,No,Personality,0,,
Bello Antioquia Colombia,female,27,would,I will go to heaven or hell,Exercise,At times,Family/Friends,bad,Do not,2,did not,Single,SmartPhone,Obedient,Nothing,Strict,More money,1,Optimistic,1,Mom,would,I don't have any siblings,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do,Money,Mitt Romney,,,,,,,,,,,,,,,,,
,male,43,would,Nothing. Game over.,Environment,Constantly,Exercise,good,Do,,did,Married,SmartPhone,Obedient,Immunity,Strict,Better romance,4,Optimistic,2,Dad,would not,Oldest,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Mitt Romney,6,Alarm clock,Often,Seldom,Being unprepared,Would,Have,Do not,have not,would,is not,is,No,Nothing,24,,
,male,32,would,Nothing. Game over.,Proper diet,Never,Music/Art,good,Do not,1,did not,Single,Computer,,Intelligence,Strict,More money,18,,0,Mom,would not,Youngest,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do not,Other,Barack Obama,80,Alarm clock,Seldom,Seldom,Other,Would not,Have not,Do not,have not,would,is not,is,Yes,Nothing,,,
Jakarta Capital Region Indonesia,male,22,would not,I will go to heaven or hell,Religion,Sometimes,Music/Art,bad,Do,2,did,Single,SmartPhone,,Appearance,,Better job,7,,2,Both about equally,would,Oldest,Playmate,,Do,,Home,,Do,Electronics,,6,Alarm clock,Seldom,Seldom,Being unprepared,Would not,Have not,Do not,have not,would not,is not,is,Yes,All of the above,,,
Boston,male,34,would,Nothing. Game over.,Proper diet,Constantly,Family/Friends,bad,Do not,2,did,Single,Computer,Obedient,Nothing,Strict,Better health,16,Optimistic,3,Both about equally,would,Middle,Mom or Dad,Untrustworthy,Do not,More,Home,Safe,Do not,Gun,Barack Obama,9,Naturally,Seldom,Seldom,Being chased,Would,Have not,Do not,have,would,is,is,Yes,Nothing,0,,
California United States,male,25,would,My spirit will return home,Proper diet,At times,Exercise,bad,Do,1,did,Single,Computer,Obedient,Intelligence,Strict,More money,4,Optimistic,1,Both about equally,would not,Middle,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Other,Barack Obama,,,,,,,,,,,,,,,,,
Superior Colorado United States,male,42,would,I will be reincarnated,Proper diet,Sometimes,Exercise,bad,Do,1,did not,Cohabitating,Computer,Obedient,Nothing,Strict,More free time,1,Optimistic,2,Mom,would not,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Other,Mitt Romney,7,Alarm clock,Seldom,Seldom,Other,Would,Have not,Do not,have,would,is not,is,No,Nothing,26,,
Atlanta Georgia United States,male,18,,I will go to heaven or hell,,,,,,,did,Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,have not,would,is not,is,Yes,All of the above,0,,
,male,35,would,Nothing. Game over.,Proper diet,Never,Family/Friends,bad,Do,3,did not,Married,Computer,Obedient,Lifespan,Strict,More money,0,Optimistic,1,Both about equally,would,Oldest,Can-opener,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,6,Alarm clock,Seldom,Seldom,Other,Would not,Have not,Do not,have not,would,is not,is,Yes,Nothing,25,,
,female,23,would not,I will be reincarnated,Environment,Sometimes,Exercise,bad,Do,1,did,Cohabitating,Computer,Obedient,Immunity,Strict,More free time,1,Optimistic,1,Dad,would not,Youngest,Mom or Dad,Untrustworthy,Do,,Home,Safe,Do,Other,Barack Obama,7,Alarm clock,Seldom,Often,Other,Would not,Have,Do not,have not,would,is not,is,Yes,Nothing,0,,
Meeuwen-Gruitrode Vlaams Gewest Belgi�,male,30,would,Nothing. Game over.,Exercise,At times,Family/Friends,good,Do,3,did not,Married,SmartPhone,,Intelligence,,More money,7,,2,Dad,would,Oldest,I don't have a pet,,Do,,Home,,Do,Photo albums,Barack Obama,8,Child/Children,Seldom,Seldom,Other,Would not,Have,Do not,have,would not,is not,is,Yes,Nothing,26,,
Sutton-in-Ashfield Nottinghamshire United Kingdom,male,24,would not,I will be reincarnated,Proper diet,At times,Alcohol/Drugs,bad,Do,1,did,Single,SmartPhone,Obedient,Intelligence,Strict,More free time,3,Optimistic,2,Dad,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,8,Alarm clock,Often,Seldom,Being chased,Would,Have,Do not,have not,would,is not,is not,Yes,Nothing,0,,
King of Prussia Pennsylvania United States,male,33,would,I will go to heaven or hell,Exercise,Sometimes,Alcohol/Drugs,good,Do,1,did,Married,TV,Obedient,Intelligence,Strict,More money,1,Optimistic,2,Neither,would not,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,7,Alarm clock,Never,Seldom,Being chased,Would,Have not,Do not,have not,would,is not,is,Yes,Sexual ability,31,,
New York New York United States,female,28,would,Nothing. Game over.,Proper diet,Constantly,Music/Art,,Do,1,did,Cohabitating,Computer,Obedient,Appearance,Strict,,,Optimistic,1,,would not,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Other,Barack Obama,7,Alarm clock,Seldom,Often,Being unprepared,Would not,Have not,Do not,have not,would,is,is,,Sexual ability,,,
Leyland Lancashire United Kingdom,male,32,would not,Nothing. Game over.,Exercise,Sometimes,Family/Friends,good,Do not,2,did,Cohabitating,Computer,Obedient,Intelligence,Strict,More free time,2,Optimistic,1,Mom,would not,I don't have any siblings,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do,Electronics,Barack Obama,7,Family member,Seldom,Seldom,Flying,Would,Have,Do not,have not,would,is not,is,Yes,Nothing,0,,
,,,would not,I will be reincarnated,Genes,Sometimes,Alcohol/Drugs,good,Do not,1,did,Divorced,Computer,Obedient,Intelligence,Strict,Better health,14,Optimistic,1,Neither,would not,Youngest,Peer,Untrustworthy,Do not,More,Home,Safe,Do,Gun,Mitt Romney,7,Alarm clock,Often,Seldom,Other,Would,Have not,Do,have,would,is not,is,No,Nothing,36,,
,male,39,would,My spirit will return home,Genes,Sometimes,Music/Art,good,Do not,2,did,Married,Computer,Obedient,Nothing,Strict,Better job,0,Optimistic,4,Both about equally,would,I don't have any siblings,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do,Photo albums,Barack Obama,6,Family member,Never,Seldom,Other,Would not,Have not,Do not,have not,would,is not,is not,Yes,Sexual ability,29,,
,male,34,would not,I will go to heaven or hell,Proper diet,Never,Family/Friends,good,Do,2,did not,Married,Computer,Obedient,Nothing,Strict,Nothing,6,Optimistic,2,Both about equally,would,Oldest,Playmate,Untrustworthy,Do,More,Work,Safe,Do not,Photo albums,Mitt Romney,6,Child/Children,Often,Often,Other,Would not,Have not,Do,have not,would not,is not,is,No,Nothing,26,,
Abingdon Oxfordshire United Kingdom,male,30,would,I will go to heaven or hell,Exercise,Never,Prayer,bad,Do,2,did,Married,Computer,Obedient,Nothing,Strict,More money,10,Optimistic,1,Neither,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Other,Mitt Romney,8,Child/Children,Never,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,Yes,Nothing,22,,
,female,44,would,I will go to heaven or hell,Proper diet,Constantly,Exercise,bad,Do,2,did not,Married,SmartPhone,Obedient,Immunity,Strict,Nothing,1,Optimistic,1,Dad,would,Oldest,Can-opener,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,7,Alarm clock,Seldom,Seldom,Other,Would,Have not,Do not,have,would not,is not,is,Yes,Nothing,28,,
,male,21,would not,I will be reincarnated,Proper diet,Constantly,Alcohol/Drugs,good,,2,did,Single,Computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorking  United Kingdom,female,29,would not,Nothing. Game over.,Proper diet,Never,Alcohol/Drugs,bad,Do,1,did,Married,Other people,Obedient,Immunity,Strict,More free time,0,Optimistic,1,Dad,would not,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,,8,Naturally,Often,Often,Being chased,Would not,Have not,Do not,have not,would,is not,is,No,Nothing,27,,
,female,32,would not,Nothing. Game over.,Exercise,Never,Exercise,good,Do,2,did not,Single,Computer,Obedient,Immunity,Strict,More free time,11,Optimistic,1,Neither,would not,I don't have any siblings,Playmate,Untrustworthy,Do,More,Home,Safe,Do not,Gun,Barack Obama,,,,Seldom,Being chased,,,,,,,,,,,,
,male,32,would,I will go to heaven or hell,Exercise,Sometimes,Alcohol/Drugs,bad,,1,did,Single,Computer,Obedient,Intelligence,,Better romance,15,Optimistic,1,Dad,,Youngest,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut United States,male,41,would,I will go to heaven or hell,Proper diet,Constantly,Family/Friends,good,Do,1,did,Married,Tablet,Obedient,Lifespan,Strict,More free time,2,Optimistic,2,Both about equally,would not,Youngest,Can-opener,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Mitt Romney,8,Pet,Never,Seldom,Other,Would not,Have not,Do not,have,would,is not,is,No,Nothing,30,,
,male,25,,I will go to heaven or hell,,At times,Music/Art,,,,did,Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,37,would,I will be reincarnated,Proper diet,Sometimes,Music/Art,bad,Do,1,did,Single,SmartPhone,,Intelligence,,Better romance,10,,0,Neither,would not,I don't have any siblings,Playmate,,Do,,Home,,Do not,Money,Barack Obama,7,Naturally,Seldom,Seldom,Other,Would,Have not,Do not,have not,would,is not,is,Yes,Intelligence,0,,
Morrow Georgia United States,male,21,would not,My spirit will return home,Exercise,Constantly,Music/Art,bad,Do,1,did,Single,SmartPhone,Obedient,Nothing,Strict,Better job,5,Optimistic,1,Dad,would,Youngest,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,,,,,,,,,,,,,,,,,
Madrid Comunidad de Madrid Espa�,male,32,would,My spirit will return home,Proper diet,At times,Family/Friends,good,Do,,did,Married,SmartPhone,Obedient,Intelligence,Strict,More free time,0,Optimistic,2,Dad,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,,,,,,,,,,,,,,,,,
Mandaluyong City Metro Manila Philippines,male,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,Naturally,Often,Seldom,Falling,Would not,Have not,Do not,have,would,is not,is,Yes,Nothing,26,,
Bangalore Karnataka India,male,24,would not,I will go to heaven or hell,Proper diet,At times,Prayer,bad,Do not,3,did not,Single,Computer,Obedient,Intelligence,Strict,Better job,4,Optimistic,2,Dad,would,Oldest,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do,Jewelry,Barack Obama,10,Family member,Often,Often,Falling,Would,Have,Do,have,would not,is not,is,Yes,All of the above,0,,
,male,26,would,Nothing. Game over.,Environment,Sometimes,Music/Art,good,Do not,3,did,Single,SmartPhone,,Intelligence,,More money,20,,2,Neither,would,Youngest,I don't have a pet,Untrustworthy,Do not,,I don't feel safe,,Do,Photo albums,,80,Naturally,Seldom,Never,Other,Would,Have not,Do not,have,would,is,is not,Yes,Personality,,,
,male,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
???? ??? ??,male,26,would,My spirit will return home,Environment,At times,Family/Friends,good,Do,2,did not,Single,Computer,Obedient,Immunity,Strict,More free time,6,Optimistic,1,Neither,would not,I don't have any siblings,I don't have a pet,Untrustworthy,Do,More,I don't feel safe,Safe,Do not,Electronics,Barack Obama,6,Alarm clock,Often,Seldom,Falling,,Have not,Do not,have,would,is not,is,Yes,Nothing,30,,
Leeds West Yorkshire United Kingdom,male,26,would not,Nothing. Game over.,Proper diet,Sometimes,Exercise,bad,Do not,2,did not,Single,Computer,Obedient,Intelligence,Strict,More free time,10,Optimistic,1,Neither,would,Oldest,I don't have a pet,Untrustworthy,Do not,More,Home,Safe,Do,Photo albums,Barack Obama,9,Alarm clock,Never,Seldom,Other,Would,Have,Do not,have,would not,is not,is,Yes,Nothing,0,,
Dubuque Iowa United States,female,27,would not,I will go to heaven or hell,Proper diet,At times,Music/Art,bad,Do,1,did,Married,SmartPhone,,Immunity,,More free time,4,Optimistic,1,Both about equally,would,Youngest,Mom or Dad,Untrustworthy,Do,,Home,Safe,Do not,Other,Barack Obama,6,Alarm clock,Seldom,Seldom,Other,Would not,Have not,Do not,have,would not,is not,is,Yes,Nothing,26,,
Evansville Indiana United States,male,22,would,I will go to heaven or hell,Exercise,At times,Work,bad,Do,2,,Single,SmartPhone,Obedient,Intelligence,Strict,Better health,1,Optimistic,2,Mom,would,I don't have any siblings,Playmate,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,5,Alarm clock,Often,Seldom,Falling,Would,Have not,Do not,have,would,is not,is,Yes,Sexual ability,,,
,male,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,male,28,would,Nothing. Game over.,Proper diet,Constantly,Music/Art,good,Do,1,did,Single,Computer,Obedient,Nothing,Strict,More free time,16,Optimistic,1,Dad,would,I don't have any siblings,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,6,Naturally,Often,Often,Being unprepared,Would,Have not,Do not,have,would not,is not,is,Yes,Looks,0,,
,male,22,would,Nothing. Game over.,Proper diet,Sometimes,Alcohol/Drugs,good,Do,1,did,Single,Computer,Obedient,Intelligence,Strict,Better romance,10,Optimistic,1,Dad,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do not,Electronics,Barack Obama,7,Alarm clock,Never,Seldom,Other,Would,Have not,Do not,have not,would,is,is,Yes,All of the above,,,
Milford Massachusetts United States,male,55,would not,I will go to heaven or hell,Exercise,At times,Exercise,good,Do,1,did,Widowed,TV,Obedient,Nothing,Strict,Nothing,10,Optimistic,2,Both about equally,would,Middle,Playmate,Untrustworthy,Do,More,Place of worship,Safe,Do,Photo albums,Mitt Romney,6,Alarm clock,Seldom,Seldom,Other,Would not,Have not,Do,have,would,is not,is,No,Nothing,27,,
Hackney South Australia Australia,male,32,would,Nothing. Game over.,Proper diet,Constantly,Music/Art,bad,Do not,1,did,Single,TV,Obedient,Appearance,Strict,Better romance,7,Optimistic,1,Neither,would not,Oldest,Playmate,Untrustworthy,Do not,More,Home,Safe,Do not,Other,Barack Obama,7,Alarm clock,Often,Seldom,Other,Would,Have not,Do not,have not,would not,is not,is,Yes,All of the above,0,,
New York United States,male,54,would,My spirit will return home,Proper diet,Constantly,Music/Art,bad,Do,3,did not,Married,TV,Obedient,Nothing,Strict,Nothing,2,Optimistic,2,Neither,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Other,Mitt Romney,6,Naturally,Seldom,Seldom,Naked in public,Would not,Have not,Do not,have,would,is not,is,Yes,Nothing,24,,
St Louis Missouri United States,male,34,would,Nothing. Game over.,Exercise,At times,Family/Friends,good,Do,1,did,Married,Computer,Obedient,Intelligence,Strict,More free time,2,Optimistic,2,Neither,would not,Oldest,Owner,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,6,Alarm clock,Seldom,Seldom,Other,Would not,Have,Do not,have,would,is not,is not,No,Nothing,24,,
Amesbury Massachusetts United States,male,30,would not,Nothing. Game over.,Proper diet,At times,Exercise,bad,Do,20,did not,Married,Tablet,Obedient,Intelligence,Strict,More free time,10,Optimistic,1,Dad,would,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Naturally,Seldom,Seldom,Being unprepared,Would not,Have,Do,have not,would,is not,is,Yes,Nothing,29,,
Boston Massachusetts United States,female,18,would,Nothing. Game over.,Environment,Constantly,Music/Art,bad,Do,1,did,Cohabitating,Computer,Obedient,Intelligence,Strict,More money,2,Optimistic,2,Dad,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Alarm clock,Seldom,Seldom,Other,Would,Have,Do not,have,would,is not,is,Yes,Nothing,0,,
Round Lake Illinois United States,male,33,would,I will go to heaven or hell,Environment,Sometimes,Family/Friends,bad,Do,1,did,Cohabitating,Tablet,Obedient,Lifespan,Strict,More money,0,Optimistic,2,Both about equally,would,Youngest,Mom or Dad,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,6,Naturally,Often,Often,Other,Would,Have not,Do not,have not,would not,is not,is,No,Sexual ability,18,,
,male,36,would not,My spirit will return home,Exercise,At times,Exercise,good,Do,2,did,Married,Tablet,Obedient,Nothing,Strict,Nothing,1,Optimistic,2,Both about equally,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,8,Naturally,Seldom,Never,Other,Would not,Have,Do not,have not,would not,is not,is,Yes,Nothing,34,,
Las Cruces New Mexico United States,male,18,would not,My spirit will return home,Exercise,At times,Family/Friends,bad,Do,1,did,Single,Computer,Obedient,Nothing,Strict,Better health,2,Optimistic,2,Mom,would,Youngest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Photo albums,Barack Obama,,,,,,,,,,,,,,,,,
Chicago Illinois United States,male,45,would,I will go to heaven or hell,Proper diet,Sometimes,Music/Art,bad,Do,2,did not,Married,Computer,Obedient,Lifespan,Strict,More free time,2,Optimistic,2,Dad,would,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Other,Mitt Romney,6,Family member,Often,Often,,Would,Have,Do,have not,would not,is not,is,,Nothing,30,,
,male,34,would,Nothing. Game over.,Exercise,Never,Exercise,good,Do,3,did not,Single,Computer,Obedient,Appearance,Strict,More money,2,Optimistic,2,Dad,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Alarm clock,Seldom,Seldom,Flying,Would,Have not,Do,have,would not,is not,is,Yes,Nothing,,,
,female,23,would not,I will go to heaven or hell,Proper diet,At times,Exercise,good,Do,,did,Single,Computer,Obedient,Nothing,Strict,More free time,10,Optimistic,1,,would not,I don't have any siblings,Playmate,Untrustworthy,Do,More,,Safe,,Electronics,Barack Obama,10,Alarm clock,Often,Seldom,Being chased,Would not,Have not,Do not,have,would not,is not,is not,Yes,,,,
South Yarra Victoria Australia,male,37,would,Nothing. Game over.,Environment,At times,Exercise,bad,Do,1,did,Married,SmartPhone,Obedient,Immunity,Strict,More money,1,Optimistic,2,Neither,would not,Oldest,Can-opener,Untrustworthy,Do,More,Home,Safe,Do,Electronics,Barack Obama,7,Naturally,Often,Often,Other,Would,Have,Do not,have,would,is not,is,No,Nothing,28,,
,,,would not,Nothing. Game over.,Proper diet,Never,Family/Friends,good,Do,1,did,Married,Computer,Obedient,Intelligence,Strict,Better job,2,Optimistic,2,Both about equally,would not,Oldest,I don't have a pet,Untrustworthy,Do,More,Home,Safe,Do,Other,Barack Obama,7,Alarm clock,Often,Seldom,Other,Would,Have not,Do not,have not,would not,is,is,No,Sexual ability,31,,
,male,24,would,Nothing. Game over.,Proper diet,Never,,bad,Do,1,did not,Single,Computer,Obedient,Appearance,Strict,Better romance,8,Optimistic,1,Dad,,Youngest,Owner,Untrustworthy,Do,More,Work,Safe,Do not,Money,Barack Obama,,Alarm clock,Never,Often,Being chased,Would not,Have not,Do not,have,would not,is,is,Yes,Nothing,26,,
Libertyville Illinois United States,female,22,would,Nothing. Game over.,Proper diet,At times,Music/Art,bad,Do,1,did,Single,SmartPhone,Obedient,Intelligence,Strict,Nothing,14,Optimistic,1,Neither,would not,I don't have any siblings,I don't have a pet,Untrustworthy,Do,More,School,Safe,Do not,Other,Barack Obama,7,Alarm clock,Seldom,Never,Other,Would,Have not,Do not,have not,would,is not,is,Yes,Nothing,0,,
